epoch,train_loss,train_acc,val_loss,val_acc
1,0.1367,97.08,0.0894,98.18
2,0.0652,97.96,0.0621,98.22
3,0.0625,98.04,0.0583,98.38
4,0.0578,98.10,0.0571,98.38
5,0.0579,98.06,0.0552,98.43
6,0.0558,98.06,0.0560,98.37
7,0.0543,98.18,0.0548,98.38
8,0.0527,98.16,0.0550,98.37
9,0.0509,98.24,0.0512,98.58
10,0.0496,98.29,0.0520,98.48
11,0.0470,98.29,0.0504,98.57
12,0.0460,98.36,0.0492,98.60
13,0.0463,98.42,0.0490,98.60
14,0.0434,98.51,0.0495,98.58
15,0.0436,98.40,0.0510,98.52
16,0.0423,98.52,0.0498,98.58
17,0.0430,98.47,0.0492,98.60
18,0.0410,98.53,0.0497,98.58
19,0.0419,98.47,0.0491,98.60
20,0.0420,98.47,0.0485,98.63
